motif.name	name.universal	name.datasetspecific	overall.scale	TFchromVAR.ExpressionModule.Cor	TFexpress.ExpressionModule.Cor	TFchromVAR.ExpressionModule.Cor.Scale	TFexpress.ExpressionModule.Cor.Scale
MA0490.2	Junb	Junb	0.836205673758865	0.357142857142857	0.615384615384615	0.795744680851064	0.876666666666667
MA0099.3	Jun	Jun	0.835390070921986	0.307692307692308	0.675824175824176	0.757446808510638	0.913333333333333
MA1130.1	Jun	Jun	0.835390070921986	0.307692307692308	0.675824175824176	0.757446808510638	0.913333333333333
MA1132.1	Jun	Jun	0.833262411347518	0.302197802197802	0.675824175824176	0.753191489361702	0.913333333333333
MA1134.1	Junb	Junb	0.829822695035461	0.340659340659341	0.615384615384615	0.782978723404255	0.876666666666667
MA1592.1	Zfp110	Zfp110	0.829787234042553	0.181318681318681	0.818681318681319	0.659574468085106	1
MA1142.1	Jund	Jund	0.828936170212766	0.489010989010989	0.423076923076923	0.897872340425532	0.76
MA1128.1	Jun	Jun	0.826879432624114	0.285714285714286	0.675824175824176	0.740425531914894	0.913333333333333
MA1592.1	Zfp369	Zfp369	0.82645390070922	0.181318681318681	0.807692307692308	0.659574468085106	0.993333333333333
MA1137.1	Junb	Junb	0.823439716312057	0.324175824175824	0.615384615384615	0.770212765957447	0.876666666666667
MA1135.1	Junb	Junb	0.817056737588653	0.307692307692308	0.615384615384615	0.757446808510638	0.876666666666667
MA1132.1	Junb	Junb	0.814929078014184	0.302197802197802	0.615384615384615	0.753191489361702	0.876666666666667
MA0462.2	Jun	Jun	0.814113475177305	0.252747252747253	0.675824175824176	0.714893617021277	0.913333333333333
MA1138.1	Junb	Junb	0.80854609929078	0.285714285714286	0.615384615384615	0.740425531914894	0.876666666666667
MA0489.1	Jun	Jun	0.803475177304965	0.225274725274725	0.675824175824176	0.693617021276596	0.913333333333333
MA1130.1	Fosl2	Fosl2	0.792056737588653	0.307692307692308	0.532967032967033	0.757446808510638	0.826666666666667
MA1144.1	Fosl2	Fosl2	0.792056737588653	0.307692307692308	0.532967032967033	0.757446808510638	0.826666666666667
MA0478.1	Fosl2	Fosl2	0.785673758865248	0.291208791208791	0.532967032967033	0.74468085106383	0.826666666666667
MA1138.1	Fosl2	Fosl2	0.78354609929078	0.285714285714286	0.532967032967033	0.740425531914894	0.826666666666667
MA0491.2	Jund	Jund	0.760851063829787	0.313186813186813	0.423076923076923	0.761702127659575	0.76
MA1141.1	Jund	Jund	0.758723404255319	0.307692307692308	0.423076923076923	0.757446808510638	0.76
